MainTab,SubTab,Branch,TalentName,LogicalTalentID,LogicalTalentName,LogicalRank,LogicalGroupingEvidence,NodeID,Rank,MaxRank,Cost,PointCurrency,RawLevelUpCostValue,CostConfidence,RequiredLevel,ParentNodeID,RelationScope,ProgressionDepth,VisualRow,VisualColumn,NodeOffset,EffectType,RawValue,DisplayedValue,MarginalGain,CumulativeGain,Unit,BuffID,AbilityID,Confidence
SJWSkillTree,Assassin,Attaque sournoise,Ruée acérée,node:111101,Ruée acérée,1,RAW_NODE_ONLY,111101,1,1,2 SkillPoint,SkillPoint,[2],CONFIRMÉ PAR LES GAMEDATA,,,NODE,0,1,3,"[0,0,0]",ActiveSkillReference,1001102000000,1001102000000,NON DÉTERMINÉ,NON DÉTERMINÉ,valeur brute,,1001102000000,CONFIRMÉ PAR LES GAMEDATA
SJWSkillTree,Assassin,Nœud de classe / Overdrive,Overdrive,node:111100,Overdrive,1,RAW_NODE_ONLY,111100,1,1,1 IdentityPoint,IdentityPoint,[1],CONFIRMÉ PAR LES GAMEDATA,MainQuestChapter:10301,,NODE,0,1,4,"[300,-200,0]",PassiveNoNumericEffect,,,NON DÉTERMINÉ,NON DÉTERMINÉ,,92000001,,NON DÉTERMINÉ
SJWSkillTree,Assassin,Attaque sournoise,Embuscade I,node:111201,Embuscade I,1,RAW_NODE_ONLY,111201,1,1,4 SkillPoint,SkillPoint,[4],CONFIRMÉ PAR LES GAMEDATA,,111101,NODE,1,2,2,"[0,0,0]",TriggeredBuff,[91000001],[91000001],NON DÉTERMINÉ,NON DÉTERMINÉ,valeur brute,90000001,,CONFIRMÉ PAR LES GAMEDATA
SJWSkillTree,Assassin,Attaque sournoise,Embuscade II,node:111202,Embuscade II,1,RAW_NODE_ONLY,111202,1,1,4 SkillPoint,SkillPoint,[4],CONFIRMÉ PAR LES GAMEDATA,,111101,NODE,1,2,4,"[0,0,0]",TriggeredBuff,[93100001],[93100001],NON DÉTERMINÉ,NON DÉTERMINÉ,valeur brute,94100001,,CONFIRMÉ PAR LES GAMEDATA
SJWSkillTree,Assassin,Attaque sournoise,Arts verticaux,node:111301,Arts verticaux,1,RAW_NODE_ONLY,111301,1,1,2 SkillPoint,SkillPoint,[2],CONFIRMÉ PAR LES GAMEDATA,,"111201,111202",NODE,2,3,3,"[0,0,0]",ActiveSkillReference,1001301000000,1001301000000,NON DÉTERMINÉ,NON DÉTERMINÉ,valeur brute,,1001301000000,CONFIRMÉ PAR LES GAMEDATA
SJWSkillTree,Assassin,Attaque sournoise,Taux de coup critique augmenté,node:111401,Taux de coup critique augmenté,1,RAW_NODE_ONLY,111401,1,1,4 SkillPoint,SkillPoint,[4],CONFIRMÉ PAR LES GAMEDATA,,111301,NODE,3,4,2,"[0,0,0]",TriggeredBuff,[91000003],[91000003],NON DÉTERMINÉ,NON DÉTERMINÉ,valeur brute,90000003,,CONFIRMÉ PAR LES GAMEDATA
SJWSkillTree,Assassin,Attaque sournoise,Embuscade III\n[Effet passif spécial],node:111402,Embuscade III\n[Effet passif spécial],1,RAW_NODE_ONLY,111402,1,1,4 SkillPoint,SkillPoint,[4],CONFIRMÉ PAR LES GAMEDATA,,111202,NODE,2,4,4,"[0,0,0]",TriggeredBuff,[91000007],[91000007],NON DÉTERMINÉ,NON DÉTERMINÉ,valeur brute,90000007,,CONFIRMÉ PAR LES GAMEDATA
SJWSkillTree,Assassin,Attaque sournoise,Taux de coup critique augmenté\n[Effet passif spécial],node:111501,Taux de coup critique augmenté\n[Effet passif spécial],1,RAW_NODE_ONLY,111501,1,1,5 SkillPoint,SkillPoint,[5],CONFIRMÉ PAR LES GAMEDATA,,111401,NODE,4,5,3,"[0,0,0]",TriggeredBuff,[91000016],[91000016],NON DÉTERMINÉ,NON DÉTERMINÉ,valeur brute,90000006,,CONFIRMÉ PAR LES GAMEDATA
SJWSkillTree,Assassin,Attaque sournoise,Attaque augmentée,node:111601,Attaque augmentée,1,RAW_NODE_ONLY,111601,1,1,3 SkillPoint,SkillPoint,[3],CONFIRMÉ PAR LES GAMEDATA,,111501,NODE,5,6,2,"[0,0,0]",AttFR,80,0.8%,0.8%,0.8%,%,90000004,,FORTEMENT PROBABLE
SJWSkillTree,Assassin,Attaque sournoise,Embuscade IV,node:111602,Embuscade IV,1,RAW_NODE_ONLY,111602,1,1,4 SkillPoint,SkillPoint,[4],CONFIRMÉ PAR LES GAMEDATA,,111402,NODE,3,6,4,"[0,0,0]",TriggeredBuff,"[93100003,93100005]","[93100003,93100005]",NON DÉTERMINÉ,NON DÉTERMINÉ,valeur brute,94100002,,CONFIRMÉ PAR LES GAMEDATA
SJWSkillTree,Assassin,Attaque sournoise,Marque de l'assassin,node:111701,Marque de l'assassin,1,RAW_NODE_ONLY,111701,1,1,4 SkillPoint,SkillPoint,[4],CONFIRMÉ PAR LES GAMEDATA,,111501,NODE,5,7,3,"[0,0,0]",TriggeredBuff,"[91000021,91000024]","[91000021,91000024]",NON DÉTERMINÉ,NON DÉTERMINÉ,valeur brute,91000020,,CONFIRMÉ PAR LES GAMEDATA
SJWSkillTree,Assassin,Frappe vitale,Lésion interne,node:112102,Lésion interne,1,RAW_NODE_ONLY,112102,1,1,2 SkillPoint,SkillPoint,[2],CONFIRMÉ PAR LES GAMEDATA,,,NODE,0,1,3,"[0,0,0]",ActiveSkillReference,1001105200000,1001105200000,NON DÉTERMINÉ,NON DÉTERMINÉ,valeur brute,,1001105200000,CONFIRMÉ PAR LES GAMEDATA
SJWSkillTree,Assassin,Frappe vitale,Dévastation I,node:112201,Dévastation I,1,RAW_NODE_ONLY,112201,1,1,4 SkillPoint,SkillPoint,[4],CONFIRMÉ PAR LES GAMEDATA,,112102,NODE,1,2,3,"[0,0,0]",TriggeredBuff,[90000020],[90000020],NON DÉTERMINÉ,NON DÉTERMINÉ,valeur brute,90000010,,CONFIRMÉ PAR LES GAMEDATA
SJWSkillTree,Assassin,Frappe vitale,Dévastation II,node:112301,Dévastation II,1,RAW_NODE_ONLY,112301,1,1,4 SkillPoint,SkillPoint,[4],CONFIRMÉ PAR LES GAMEDATA,,112201,NODE,2,3,2,"[0,0,0]",TriggeredBuff,[90000023],[90000023],NON DÉTERMINÉ,NON DÉTERMINÉ,valeur brute,90000014,,CONFIRMÉ PAR LES GAMEDATA
SJWSkillTree,Assassin,Frappe vitale,À point,node:112302,À point,1,RAW_NODE_ONLY,112302,1,1,2 SkillPoint,SkillPoint,[2],CONFIRMÉ PAR LES GAMEDATA,,112201,NODE,2,3,3,"[0,0,0]",ActiveSkillReference,1001121400000,1001121400000,NON DÉTERMINÉ,NON DÉTERMINÉ,valeur brute,,1001121400000,CONFIRMÉ PAR LES GAMEDATA
SJWSkillTree,Assassin,Frappe vitale,Attaque dans le dos I,node:112303,Attaque dans le dos I,1,RAW_NODE_ONLY,112303,1,1,4 SkillPoint,SkillPoint,[4],CONFIRMÉ PAR LES GAMEDATA,,112201,NODE,2,3,4,"[0,0,0]",TriggeredBuff,[93100008],[93100008],NON DÉTERMINÉ,NON DÉTERMINÉ,valeur brute,94100003,,CONFIRMÉ PAR LES GAMEDATA
SJWSkillTree,Assassin,Frappe vitale,Position d'embuscade,node:112401,Position d'embuscade,1,RAW_NODE_ONLY,112401,1,1,4 SkillPoint,SkillPoint,[4],CONFIRMÉ PAR LES GAMEDATA,,112302,NODE,3,4,3,"[0,0,0]",TriggeredBuff,"[93100010,93100012]","[93100010,93100012]",NON DÉTERMINÉ,NON DÉTERMINÉ,valeur brute,94100004,,CONFIRMÉ PAR LES GAMEDATA
SJWSkillTree,Assassin,Frappe vitale,Ruée de l'ombre,node:112501,Ruée de l'ombre,1,RAW_NODE_ONLY,112501,1,1,4 SkillPoint,SkillPoint,[4],CONFIRMÉ PAR LES GAMEDATA,,112301,NODE,3,5,2,"[0,0,0]",TriggeredBuff,"[93100015,93100016]","[93100015,93100016]",NON DÉTERMINÉ,NON DÉTERMINÉ,valeur brute,94100005,,CONFIRMÉ PAR LES GAMEDATA
SJWSkillTree,Assassin,Frappe vitale,Attaque dans le dos II,node:112502,Attaque dans le dos II,1,RAW_NODE_ONLY,112502,1,1,5 SkillPoint,SkillPoint,[5],CONFIRMÉ PAR LES GAMEDATA,,"112401,112303",NODE,4,5,4,"[0,0,0]",EnhanceBackDamage,320,320,NON DÉTERMINÉ,NON DÉTERMINÉ,valeur brute,90000015,,CONFIRMÉ PAR LES GAMEDATA
SJWSkillTree,Assassin,Frappe vitale,Entailles croissantes,node:112601,Entailles croissantes,1,RAW_NODE_ONLY,112601,1,1,2 SkillPoint,SkillPoint,[2],CONFIRMÉ PAR LES GAMEDATA,,112401,NODE,4,6,3,"[0,0,0]",ActiveSkillReference,1001303400000,1001303400000,NON DÉTERMINÉ,NON DÉTERMINÉ,valeur brute,,1001303400000,CONFIRMÉ PAR LES GAMEDATA
SJWSkillTree,Assassin,Frappe vitale,Intention du prédateur,node:112701,Intention du prédateur,1,RAW_NODE_ONLY,112701,1,1,4 SkillPoint,SkillPoint,[4],CONFIRMÉ PAR LES GAMEDATA,,112501,NODE,4,7,2,"[0,0,0]",TriggeredBuff,[91000031],[91000031],NON DÉTERMINÉ,NON DÉTERMINÉ,valeur brute,91000030,,CONFIRMÉ PAR LES GAMEDATA
SJWSkillTree,Duelliste,Frappe enragée,Accablement,node:113101,Accablement,1,RAW_NODE_ONLY,113101,1,1,2 SkillPoint,SkillPoint,[2],CONFIRMÉ PAR LES GAMEDATA,,,NODE,0,1,3,"[0,0,0]",ActiveSkillReference,1001103100000,1001103100000,NON DÉTERMINÉ,NON DÉTERMINÉ,valeur brute,,1001103100000,CONFIRMÉ PAR LES GAMEDATA
SJWSkillTree,Duelliste,Nœud de classe / Overdrive,Overdrive,node:113100,Overdrive,1,RAW_NODE_ONLY,113100,1,1,1 IdentityPoint,IdentityPoint,[1],CONFIRMÉ PAR LES GAMEDATA,MainQuestChapter:10301,,NODE,0,1,4,"[300,-200,0]",PeriodGiveBuff,92000201,92000201,NON DÉTERMINÉ,NON DÉTERMINÉ,valeur brute,92000003,,CONFIRMÉ PAR LES GAMEDATA
SJWSkillTree,Duelliste,Nœud de classe / Overdrive,Overdrive,node:113100,Overdrive,1,RAW_NODE_ONLY,113100,1,1,1 IdentityPoint,IdentityPoint,[1],CONFIRMÉ PAR LES GAMEDATA,MainQuestChapter:10301,,NODE,0,1,4,"[300,-200,0]",EnhanceSkillDamage,20000,20000,NON DÉTERMINÉ,NON DÉTERMINÉ,valeur brute,92000003,,CONFIRMÉ PAR LES GAMEDATA
SJWSkillTree,Duelliste,Frappe enragée,Contre-offensive I,node:113201,Contre-offensive I,1,RAW_NODE_ONLY,113201,1,1,4 SkillPoint,SkillPoint,[4],CONFIRMÉ PAR LES GAMEDATA,,113101,NODE,1,2,2,"[0,0,0]",TriggeredBuff,[90000048],[90000048],NON DÉTERMINÉ,NON DÉTERMINÉ,valeur brute,90000035,,CONFIRMÉ PAR LES GAMEDATA
SJWSkillTree,Duelliste,Frappe enragée,Ombre vive : Contre-attaque,node:113202,Ombre vive : Contre-attaque,1,RAW_NODE_ONLY,113202,1,1,4 SkillPoint,SkillPoint,[4],CONFIRMÉ PAR LES GAMEDATA,,113101,NODE,1,2,4,"[0,0,0]",SkillChange,1001204300000,1001204300000,NON DÉTERMINÉ,NON DÉTERMINÉ,valeur brute,90000034,,CONFIRMÉ PAR LES GAMEDATA
